ID,Aircraft,Community,Clock,Industrial,Shipping,Vehicular,NoiseLevel,NoiseLevelSquare,Comprehensibility,Intelligibility,UEQKPI,Attractiveness,UEQComprehensibility,Dependability,Efficiency,ContentQuality,ContentTrustworthiness,Acoustics,PeakPupilListen,MeanPupilListen,PrepeakPupilListen,PeakPupilSpeak,MeanPupilSpeak,PrepeakPupilSpeak,IntelligibilityTransformer,Time,Sex,Age,Bachelor,Master,Doctorate,CS,Economy,Management,Engeneering,Cet4,Cet6,Round,RoundBreak
by2308111,1,0,0,0,0,0,66,4356,0.6875,0.205663189,3.285714286,4,4,3.5,3,3.5,3.5,3.5,0.700209825,0.190000042,0.177015261,1.751908918,0.463207277,0.711054206,-0.048890159,3398,1,22,0,0,1,0,1,0,0,580,510,4,4
21377298,0,0,0,0,0,1,66,4356,0.4375,0.278769841,-9.571428571,4,3.5,3.25,4,5,5,4,-0.457835444,-1.086877007,-0.992998187,1.637582306,-0.123563549,0.406481946,0.17193611,4306,1,19,1,0,0,0,1,0,0,500,450,20,8
21377298,0,0,0,1,0,0,70,4900,0.4375,0.077336198,-4.142857143,6,6,6,6,6.25,7,5.25,0.292866674,-0.233592541,-0.174019377,1.172193765,0.453320846,0.446726528,0.047034442,4306,1,19,1,0,0,0,1,0,0,500,450,6,6
sy2308207,0,0,0,0,0,1,62,3844,0.8125,0.637662338,-12.75,2.25,6,4,3,3,3.25,2,-0.123233444,-0.679899286,-0.598079048,1.202046539,0.035521699,0.028029142,0.052879989,3383,1,23,0,1,0,0,0,1,0,478,557,15,3
22374085,0,0,0,0,0,1,66,4356,0.625,0.404464904,2.071428571,5.5,5.75,6,5.75,5.5,6.5,5.25,0.577766129,-0.606303879,-0.34316335,1.493940025,-0.398322561,-0.441772095,0.664773226,4395,0,19,1,0,0,0,0,0,1,545,523,23,11
by2308145,0,0,0,1,0,0,58,3364,0.5625,0.243360572,3.285714286,4.5,3.5,4.5,4.5,3.75,4.75,6,-0.101606786,-0.526574715,-0.437090959,-0.124165827,-0.32149085,-0.358232438,0.089213058,5698,1,25,0,0,1,0,0,1,0,559,568,11,11
by2308111,0,0,0,0,0,1,58,3364,0.625,0.393602541,-5.357142857,1,3,2,1,3,2,1,0.052708517,-0.276735154,-0.427829251,0.700209825,-0.38623271,-0.350205238,0.775954127,3398,1,22,0,0,1,0,1,0,0,580,510,22,10
21377086,0,1,0,0,0,0,66,4356,0.5,0.303289474,1.785714286,3.25,5,3.75,4.25,3,3.5,4.5,0.201047043,-0.639147368,-0.59918028,0.948769676,0.371948799,0.466781674,0.05160797,4101,0,20,1,0,0,1,0,0,0,500,500,19,7
sy2308220,1,0,0,0,0,0,62,3844,0.75,0.389215686,5.535714286,4.75,6.5,6.5,6,6.5,6.75,4,0.404875084,0.120605339,-0.036370272,2.308167755,0.372859165,0.692312719,-0.021148374,3752,0,23,0,1,0,0,0,1,0,530,500,3,3
20377292,0,1,0,0,0,0,58,3364,0.6875,0.591666667,7.607142857,5,6,5.75,5,6,6,2.5,-0.012318907,-0.289168905,-0.514886647,0.908386014,0.208412414,-0.037032631,0.041910056,4467,1,20,1,0,0,1,0,0,0,500,523,7,7
by2308108,0,0,0,0,1,0,70,4900,0.75,0.421161192,7.571428571,4.25,6.5,6.25,6,5.5,5.75,2,2.363527068,1.058746002,1.202388095,1.18489566,0.643311244,0.180062808,0.069881633,5214,1,23,0,0,1,0,0,1,0,556,525,2,2
22377318,0,0,0,1,0,0,66,4356,0.5625,0.40802139,-0.75,4.75,6.5,6,6.25,6.25,6.25,3.5,1.163238409,0.162694268,0.408418143,1.362352837,0.113196163,0.238851179,0.802575588,4396,1,20,1,0,0,1,0,0,0,500,523,24,12
sy2308207,0,0,0,0,0,1,66,4356,0.875,0.480253353,0.785714286,3.75,6,5,4.25,4.25,5,2,1.189888007,0.187804018,0.075817929,3.78573458,1.145093569,1.114971079,-0.034255181,3383,1,23,0,1,0,0,0,1,0,478,557,4,4
zy2207207,0,0,0,0,0,1,66,4356,1,0.723442288,15.60714286,5.5,6,6.75,5.75,5,6.25,2.5,-0.012923752,-0.672009645,-1.057905295,0.733173908,0.04476412,0.042656465,0.178595662,4030,1,24,0,1,0,0,0,0,1,616,598,17,5
sy2308310,0,0,1,0,0,0,66,4356,0.75,0.576136364,-8.357142857,5,5.5,6,5.75,5.25,6,5.75,0.577667622,0.044663662,0.044663662,0.158230682,-0.152074312,-0.303021923,0.010796872,4487,0,22,0,1,0,0,0,1,0,667,585,13,1
by2308134,0,0,1,0,0,0,62,3844,0.5,0.207955233,-11.14285714,7,7,7,7,6.5,7,5.5,1.317899968,-0.107388978,-0.21776181,0.672396519,-0.409474308,-0.188605745,0.666747451,3893,0,25,0,0,1,0,0,1,0,556,485,22,10
21377035,0,0,1,0,0,0,70,4900,0.6875,0.532565789,4,6.75,5.75,7,7,5.75,5,4.75,0.396439142,-0.469310057,-0.682848719,1.829387633,0.078302033,0.361481887,0.06405092,4206,0,20,1,0,0,0,0,1,0,602,520,19,7
sy2308207,0,0,1,0,0,0,66,4356,0.75,0.437171053,-7.142857143,3.5,6,4.5,4,3.5,4.5,2.5,-0.299532157,-0.813955783,-0.705864295,2.10785717,-0.038903314,0.201120415,0.020899514,3383,1,23,0,1,0,0,0,1,0,478,557,19,7
by2308145,0,0,0,0,0,1,70,4900,0.6875,0.409505908,0.178571429,3.5,4.25,3.75,4.75,3.75,4.5,3.75,1.058572468,0.903873107,0.930327232,1.438853446,1.057490202,1.072037688,0.018865621,5698,1,25,0,0,1,0,0,1,0,559,568,6,6
by2308106,1,0,0,0,0,0,62,3844,0.75,0.452502554,4.75,4.75,5.25,5,4.75,4.75,4.5,4.75,0.186489237,-0.787717117,-0.698934813,2.258732212,1.046856676,1.193666471,0.097679399,3590,0,23,0,0,1,0,0,1,0,585,566,11,11
by2308106,0,0,0,1,0,0,70,4900,0.6875,0.237048666,5.714285714,6,7,7,5.25,6.25,5.5,6.5,0.399026978,-0.206515902,-0.366198498,0.938616212,-0.898815114,-0.065011154,-0.006658847,3590,0,23,0,0,1,0,0,1,0,585,566,1,1
by2308111,0,1,0,0,0,0,58,3364,0.75,0.388383838,7.714285714,2,3,3,2,3,3,1,0.64527032,0.328206611,0.364639761,0.42158805,0.003859825,-0.052866886,-0.002125309,3398,1,22,0,0,1,0,1,0,0,580,510,15,3
21377006,0,0,0,0,1,0,70,4900,0.6875,0.680284421,13.78571429,4.25,5.5,5,5.25,5.25,5.25,3.5,0.476295068,-0.674505023,-0.612080838,0.350070867,-0.721821308,-0.441601725,0.38157624,4012,0,20,1,0,0,1,0,0,0,585,530,16,4
21377053,0,0,1,0,0,0,66,4356,0.8125,0.495093795,5.5,3,4.75,4.5,2.75,4.25,4.5,2.75,0.753375944,0.589703105,0.377331305,1.57158709,0.442343259,0.622571132,0.075687706,4273,1,20,1,0,0,0,1,0,0,570,553,15,3
21377006,0,0,0,1,0,0,62,3844,0.625,0.526684913,7.535714286,3.75,5.75,5,4.5,5,5,2.5,-0.114434193,-0.632024732,-0.673694405,0.602519269,-0.613421405,-0.158676528,0.110829338,4012,0,20,1,0,0,1,0,0,0,585,530,18,6
sy2308310,0,0,0,0,0,1,70,4900,0.625,0.549494949,-14.14285714,6,5.75,5,5.5,5,5.25,5,-0.325735018,-0.48777541,-0.538704307,0.747055617,0.251877787,-0.040378495,0.015829626,4487,0,22,0,1,0,0,0,1,0,667,585,15,3
21377053,0,0,0,1,0,0,62,3844,0.8125,0.687718164,-1.035714286,1.75,3.25,3.5,2.5,3.25,2.5,2,1.195514886,0.453268889,0.449269171,2.166187736,0.390316898,0.759043606,0.368886352,4273,1,20,1,0,0,0,1,0,0,570,553,16,4
by2308111,0,0,0,1,0,0,62,3844,0.6875,0.603832702,-11.85714286,1,1,1,1,1,1,1,1.21428662,0.599037411,0.573400586,3.090078287,0.544162244,0.805428001,0.083596915,3398,1,22,0,0,1,0,1,0,0,580,510,8,8
by2308111,1,0,0,0,0,0,58,3364,0.6875,0.547178243,-2.785714286,1,3,2,2,3,3,1,-0.320095266,-0.725602591,-0.832788864,1.575317652,-0.108018177,-0.156224196,0.154670373,3398,1,22,0,0,1,0,1,0,0,580,510,17,5
zy2308131,0,0,1,0,0,0,58,3364,0.625,0.486981487,-6.785714286,5,7,7,7,4.75,2.25,1,-0.268595207,-1.067767946,-1.019897212,-0.089521908,-0.665193727,-0.909372919,0.647596836,4060,0,22,0,1,0,0,1,0,0,560,541,23,11
by2308106,0,0,0,0,0,1,66,4356,0.8125,0.566305916,4.25,6.25,6,7,6.5,7,6,5.5,0.300348741,-0.628945308,-0.521025435,2.349819815,0.459963474,1.017339463,0.080418803,3590,0,23,0,0,1,0,0,1,0,585,566,15,3
by2308106,0,0,1,0,0,0,58,3364,0.75,0.72513369,-8.392857143,2,4.75,6.75,3.75,4,3.5,1.5,0.983505766,0.698988954,0.073959999,0.596383452,-0.462053922,-0.645490671,0.797355354,3590,0,23,0,0,1,0,0,1,0,585,566,24,12
by2308145,0,0,0,0,0,1,58,3364,0.6875,0.438815789,4.892857143,3.75,4.75,4.25,4.5,3.25,4.25,3.5,0.560738624,-0.074247727,-0.148804301,1.629868785,0.292012344,0.401149928,0.021019667,5698,1,25,0,0,1,0,0,1,0,559,568,19,7
